50088 3
19.00000000 0.00000000 11.79791967
19.59425721 1.54210149 12.40499182
19.73227438 3.12528523 12.28887708
19.33983769 4.64308423 11.58705634
18.40402875 5.97983143 10.58902045
16.97951333 7.03314470 9.67211126
15.18270789 7.73597606 8.91912584
13.17459549 8.07340250 8.00783469
11.13525492 8.09023626 6.64588971
9.23485585 7.88731202 4.94940992
7.60660172 7.60660172 3.37331608
6.32671524 7.40763180 2.28251784
5.40514030 7.43953739 1.71801094
4.78847551 7.81408184 1.57858832
4.37421348 8.58487733 1.84272989
4.03314470 9.73687264 2.60331222
3.63525492 11.18816421 3.91839312
3.07390926 12.80375354 5.57641013
2.28366967 14.41852286 7.08191317
1.24859629 15.86492013 8.07562963
0.00000000 17.00000000 8.67000000
-1.39512359 17.72672597 9.11942788
-2.85182776 18.00573185 9.41888049
-4.28679435 17.85578351 9.46982260
-5.63525492 17.34353128 9.36125971
-6.86157183 16.56529977 9.28060173
-7.96142247 15.62517137 9.26884639
-8.95557852 14.61417591 9.19963822
-9.87727626 13.59490446 8.95175915
-10.75667917 12.59445314 8.52301355
-11.60660172 11.60660172 8.01326990
-12.41334406 10.60199740 7.55495698
-13.13525492 9.54332131 7.23976072
-13.70977450 8.40136062 7.05648648
-14.06763486 7.16781797 6.89105714
-14.15108621 5.86157183 6.63070012
-13.93189280 4.52674638 6.28271426
-13.42467059 3.22297826 5.93824698
-12.69198033 2.01021220 5.60203482
-11.83927779 0.93177137 5.16219209
-11.00000000 0.00000000 4.58160207
-10.31326280 -0.81167139 3.99972975
-9.89837584 -1.56774872 3.60386308
-9.83125992 -2.36027668 3.48370955
-10.12766673 -3.29067840 3.60065039
-10.73687264 -4.44735827 3.86289725
-11.54748784 -5.88373893 4.33676326
-12.40460944 -7.60155444 5.38562738
-13.13525492 -9.54332131 7.23976072
-13.57732312 -11.59612943 9.50881080
-13.60660172 -13.60660172 11.60533857
-13.15672621 -15.40454717 13.15808253
-12.22841727 -16.83097244 13.87087873
-10.88648143 -17.76512310 13.66050503
-9.24550151 -18.14531839 12.73845193
-7.44735827 -17.97951333 11.26221923
-5.63525492 -17.34353128 9.36125971
-3.92945166 -16.36734408 7.53449821
-2.40936428 -15.21212736 6.31118292
-1.10517658 -14.04259988 5.61613097
-0.00000000 -13.00000000 5.07000000
0.95864928 -12.18079405 4.53830211
1.84120619 -11.62491837 4.11396250
2.71656657 -11.31531410 3.89857905
3.63525492 -11.18816421 3.91839312
4.61893114 -11.15108621 4.13062814
5.65829252 -11.10502435 4.45456698
6.71937843 -10.96502902 4.82089337
7.75628131 -10.67560537 5.20713611
8.72676228 -10.21772583 5.61697244
9.60660172 -9.60660172 6.03010971
10.39883491 -8.88144405 6.39063618
11.13525492 -8.09023626 6.64588971
11.86943043 -7.27359632 6.78622138
12.66256087 -6.45189702 6.85372667
13.56529977 -5.61893114 6.94111509
14.59980269 -4.74376345 7.20736884
15.74642702 -3.78038266 7.86813942
16.93866988 -2.68282175 9.04910913
18.06824223 -1.42200150 10.53694749
3.00000000 3.00000000 0.87773159
7.00000000 3.00000000 1.86138555
7.00000000 7.00000000 2.62436668
3.00000000 7.00000000 0.86181195
-7.00000000 -7.00000000 3.25563332
-3.00000000 -7.00000000 2.61818805
-3.00000000 -3.00000000 0.20226841
-7.00000000 -3.00000000 1.61861445
-0.92030756 -10.48994778 3.50426647
-13.03688029 3.29912067 5.64314464
5.87032902 2.53550052 1.60324952
-11.70170569 -12.14352602 8.67629521
7.60308195 -8.65109721 3.88430854
-3.97960711 9.57871161 3.99881360
1.50279440 3.89857782 0.53014662
0.83708572 -6.33071406 0.95388248
0.32298469 2.01931254 0.21450170
10.19199610 -7.90404555 5.79508153
-3.80404873 16.14880849 7.27434158
-2.31810528 -7.51275681 2.64698200
0.04484595 -1.32452583 0.06816965
-1.59274025 13.19507928 4.98058586
-12.37866515 2.13828038 5.37143259
-6.65689017 -12.01438133 5.61683186
-9.93822675 -8.46753207 4.39578797
7.28075519 -2.01776780 2.50000000
-8.57558824 3.00478704 2.57972116
-9.98784329 5.75186093 3.48269369
-6.23400893 -8.80569429 4.05246749
-0.37019585 -0.59537545 -0.12862817
-10.13290055 0.27665140 3.86819616
10.53710820 6.87502944 5.56114111
-3.36091069 13.23492979 5.05844815
9.54892118 -6.67459281 4.63067050
-4.09521263 7.98303861 3.41139798
-8.87127824 -15.42277752 9.89005844
1.85181756 -9.19387987 2.05849953
9.04200073 -2.49123818 2.50000000
3.06656497 11.82004258 4.48822777
4.38642481 0.89586455 1.52200788
12.23070991 2.02537792 3.93250870
-7.56863638 12.87012992 6.63967194
-6.65485530 0.34667067 0.87517888
-0.35130698 -3.87905920 0.45243034
0.58768699 -12.21051247 4.52308176
0.86492351 -7.93737014 1.57357795
-6.61220410 11.68134827 5.42423902
-10.48169402 2.42990042 3.96236423
-12.20838156 2.66645782 5.16071278
-4.17873384 -9.02976742 3.85686570
-12.28582419 5.62081672 4.86191945
8.20171939 7.08002381 3.65390397
14.41322537 6.07053268 7.71210915
-9.15848184 -8.28884170 4.08656067
14.68273288 -2.46473478 6.42960081
-12.03164307 9.33464617 6.13137087
-2.68009978 9.54745557 3.63439173
-8.97633549 7.18952727 3.54914410
-0.74102588 15.19827996 6.66006526
-12.31104382 6.40069920 4.95889571
4.39079339 -9.82400745 2.78055040
-5.29246696 -14.81224184 6.62213468
-5.55043063 -7.76025155 3.52676514
16.53301424 -0.82763173 8.52723198
-12.11410377 -13.49764080 10.49647779
-11.47581285 -7.55319414 4.67696655
0.47948181 5.64718516 0.84256480
7.72711896 -3.53565037 2.50000000
-0.95855750 -2.66787269 0.06054341
14.92175632 -0.32250577 6.37613025
3.20607623 -4.18070310 0.73558843
